datetime,symbol,open,high,low,close,volume
2021-02-02 01:00:00,CRYPTO:LTCUSD,132.000052,145.966273,131.862761,142.18435,0.0
2021-02-03 01:00:00,CRYPTO:LTCUSD,142.204268,156.816015,142.106832,156.234516,0.0
2021-02-04 01:00:00,CRYPTO:LTCUSD,156.285116,158.994447,141.181048,145.312557,0.0
2021-02-05 01:00:00,CRYPTO:LTCUSD,145.269224,157.009532,143.572438,155.154239,0.0
2021-02-06 01:00:00,CRYPTO:LTCUSD,155.176853,164.141677,149.722243,155.721346,0.0
2021-02-07 01:00:00,CRYPTO:LTCUSD,155.984332,157.44628,145.304335,151.093316,0.0
2021-02-08 01:00:00,CRYPTO:LTCUSD,151.121537,169.777812,148.002321,167.587591,0.0
2021-02-09 01:00:00,CRYPTO:LTCUSD,167.570709,184.773854,164.295822,181.855142,0.0
2021-02-10 01:00:00,CRYPTO:LTCUSD,181.849239,195.278614,170.388557,181.904209,0.0
2021-02-11 01:00:00,CRYPTO:LTCUSD,182.055795,193.721994,175.834295,183.86688,0.0
2021-02-12 01:00:00,CRYPTO:LTCUSD,183.992113,200.138309,176.851356,197.070866,0.0
2021-02-13 01:00:00,CRYPTO:LTCUSD,197.348439,229.613938,191.554371,226.453856,0.0
2021-02-14 01:00:00,CRYPTO:LTCUSD,226.297913,230.80768,208.480592,213.813504,0.0
2021-02-15 01:00:00,CRYPTO:LTCUSD,214.144682,220.042006,186.109873,207.985862,0.0
2021-02-16 01:00:00,CRYPTO:LTCUSD,208.344805,222.320983,200.30238,210.232852,0.0
2021-02-17 01:00:00,CRYPTO:LTCUSD,210.267906,237.756694,203.481592,237.468942,0.0
2021-02-18 01:00:00,CRYPTO:LTCUSD,237.545066,239.144805,220.880868,226.646938,0.0
2021-02-19 01:00:00,CRYPTO:LTCUSD,226.699368,242.014229,219.835441,236.751735,0.0
2021-02-20 01:00:00,CRYPTO:LTCUSD,237.015375,247.06787,214.740619,227.236698,0.0
2021-02-21 01:00:00,CRYPTO:LTCUSD,227.104357,233.766926,220.079941,227.575874,0.0
2021-02-22 01:00:00,CRYPTO:LTCUSD,227.561631,227.69704,174.807882,208.247369,0.0
2021-02-23 01:00:00,CRYPTO:LTCUSD,208.229417,208.796486,158.442934,177.586517,0.0
2021-02-24 01:00:00,CRYPTO:LTCUSD,177.571228,189.58921,169.067936,181.737559,0.0
2021-02-25 01:00:00,CRYPTO:LTCUSD,181.645942,205.280203,175.255541,179.262874,0.0
2021-02-26 01:00:00,CRYPTO:LTCUSD,179.211808,182.656426,162.752241,170.343289,0.0
2021-02-27 01:00:00,CRYPTO:LTCUSD,170.251808,180.441907,167.301816,171.983612,0.0
2021-02-28 01:00:00,CRYPTO:LTCUSD,171.839081,173.110494,152.998371,165.423356,0.0
2021-03-01 01:00:00,CRYPTO:LTCUSD,165.590306,176.616272,163.518345,176.05715,0.0
2021-03-02 01:00:00,CRYPTO:LTCUSD,176.037666,185.374818,170.734495,179.003366,0.0
2021-03-03 01:00:00,CRYPTO:LTCUSD,178.886565,196.631347,177.147084,187.772114,0.0
2021-03-04 01:00:00,CRYPTO:LTCUSD,187.859014,194.414731,176.958198,180.645601,0.0
2021-03-05 01:00:00,CRYPTO:LTCUSD,180.626055,183.586624,168.648152,180.568848,0.0
2021-03-06 01:00:00,CRYPTO:LTCUSD,180.545395,184.635336,174.656798,182.768984,0.0
2021-03-07 01:00:00,CRYPTO:LTCUSD,183.110883,192.123868,182.474028,190.60675,0.0
2021-03-08 01:00:00,CRYPTO:LTCUSD,190.749894,195.200647,179.953005,191.795497,0.0
2021-03-09 01:00:00,CRYPTO:LTCUSD,191.908171,205.1502,189.050099,203.963566,0.0
2021-03-10 01:00:00,CRYPTO:LTCUSD,203.976361,208.080055,191.374484,200.248194,0.0
2021-03-11 01:00:00,CRYPTO:LTCUSD,200.479165,203.470426,191.070126,201.398122,0.0
2021-03-12 01:00:00,CRYPTO:LTCUSD,201.489722,224.281083,198.550194,220.809287,0.0
2021-03-13 01:00:00,CRYPTO:LTCUSD,220.905471,230.061066,212.797065,226.101248,0.0
2021-03-14 01:00:00,CRYPTO:LTCUSD,225.956965,227.95439,213.909762,214.018115,0.0
2021-03-15 01:00:00,CRYPTO:LTCUSD,214.009073,222.42746,197.680453,200.754707,0.0
2021-03-16 01:00:00,CRYPTO:LTCUSD,200.55074,205.289463,191.168223,201.70156,0.0
2021-03-17 01:00:00,CRYPTO:LTCUSD,201.735659,206.990083,194.22802,205.97626,0.0
2021-03-18 01:00:00,CRYPTO:LTCUSD,206.149867,208.259395,199.077243,199.678967,0.0
2021-03-19 01:00:00,CRYPTO:LTCUSD,199.708305,204.966997,195.751725,200.127035,0.0
2021-03-20 01:00:00,CRYPTO:LTCUSD,200.048044,206.145536,198.872545,200.03165,0.0
2021-03-21 01:00:00,CRYPTO:LTCUSD,200.035707,201.929601,192.200224,195.476057,0.0
2021-03-22 01:00:00,CRYPTO:LTCUSD,195.58321,199.025435,184.837295,185.767549,0.0
2021-03-23 01:00:00,CRYPTO:LTCUSD,185.885821,189.473278,181.043966,185.967036,0.0
2021-03-24 01:00:00,CRYPTO:LTCUSD,185.926047,197.032429,172.210754,176.053643,0.0
